Tag	Duplicate
85492	0
60449	0
44557	0
23753	1
11439	0
50002	0
40996	0
9328	0
34278	0
41132	0
85745	0
71115	0
89058	0
43711	0
43868	0
66751	0
50683	0
62996	0
3113	0
35004	0
70504	0
55068	0
35437	1
76657	0
2222	0
3962	0
31116	0
31625	0
63117	0
30059	0
65015	0
10087	0
69512	0
78748	0
80084	0
39819	0
30449	1
38947	0
83340	0
15808	0
64785	0
80425	0
40846	0
59049	0
80009	0
67631	0
33837	0
12566	0
12234	0
29418	0
47004	0
53192	0
46591	0
7165	0
83193	0
62904	0
45346	0
80840	0
72195	0
73619	0
26887	0
51210	0
16799	0
4628	1
13778	0
14923	2
22817	0
43132	1
55832	0
66555	0
3930	1
31225	1
38003	0
4624	0
85937	0
72797	0
68944	0
35429	0
70449	0
19449	0
40579	0
73666	0
32464	0
18200	1
22534	0
42841	0
35639	0
58011	0
19951	0
76076	0
40225	0
4456	0
24577	0
47287	0
45305	0
78031	0
52270	0
44948	0
28288	0
5060	0
53045	0
26423	0
8191	0
9150	1
54327	0
53691	0
58701	0
56327	0
48017	0
71824	0
86052	0
64598	0
79190	0
27042	0
40533	0
53311	0
34757	2
26509	0
74895	0
45557	0
41898	0
67724	0
50457	1
2099	0
70801	0
6010	0
89700	0
70007	0
29930	0
11912	0
49047	0
32955	0
14219	0
92234	2
45015	0
72286	0
23615	0
87764	1
49675	0
37349	0
50112	0
47194	0
17568	0
32897	0
66240	0
14217	0
67950	0
34794	0
58841	1
56856	0
45891	1
25287	0
27777	0
29404	0
61866	0
21717	0
38055	0
68601	0
13065	0
7307	1
33077	0
4308	0
42129	0
50219	0
29446	1
30058	0
5584	0
82379	0
17949	1
41053	0
80033	0
62569	0
73949	0
27073	0
45734	0
46252	1
9098	0
70339	0
27492	0
33923	0
65981	0
41771	0
90386	0
113915	1
45730	0
64766	0
1255	0
21711	0
37780	0
42530	0
17570	1
64996	0
59992	0
57056	0
88870	0
49702	0
59133	0
56880	0
3471	0
73415	0
11430	1
34697	0
36880	0
6557	0
66016	0
7402	1
36740	1
70556	1
33726	0
8153	0
54377	0
23721	0
52593	1
62929	0
2496	0
29784	0
34711	0
25754	1
22561	0
15060	0
28176	0
39547	0
72621	0
13496	0
51329	0
38008	2
1144	0
23270	0
69526	1
18078	1
51419	0
8168	0
14108	0
14729	0
74384	0
19587	0
26999	0
48603	0
4971	0
63963	0
798	0
44834	1
19291	0
32653	0
87337	0
7369	0
28900	0
48289	0
4088	0
7829	0
89021	0
18644	0
31344	1
31580	1
27903	1
67660	0
70474	0
84795	0
85114	0
27488	0
83349	0
19237	0
31568	0
40980	0
43554	0
88674	0
4448	1
9995	2
88306	0
89533	0
15092	1
21367	0
5888	0
28646	0
67158	0
94622	1
43056	0
71563	1
12311	1
23088	1
55616	0
94423	1
26334	1
73663	0
89812	0
103330	1
34778	1
43187	0
29719	1
31123	1
33506	0
65975	0
46848	0
9790	0
38236	0
52142	1
64200	1
3088	0
46452	1
800	2
24491	1
27509	0
28658	0
54069	0
2826	1
10007	0
59665	1
94509	1
32162	0
74141	0
60474	1
101086	1
4822	1
5318	1
50301	0
63389	0
85277	1
31127	0
88573	1
109432	1
13394	0
36761	1
91297	1
16573	0
50949	1
72713	1
81347	0
32638	0
64860	0
8008	0
44453	1
91322	1
8271	1
18527	0
47093	1
35052	0
38086	0
54473	0
9213	0
69947	0
112669	1
56244	1
1720	0
4669	1
61919	0
63594	0
69045	1
69229	0
33247	0
32432	0
2986	1
36060	0
64571	1
64849	0
12939	0
52836	1
77981	1
30862	0
41110	0
43243	1
10467	0
65540	0
9185	0
35043	0
49732	1
98855	1
18434	0
168804	0
58863	0
88640	0
118776	1
146	0
10680	0
78644	0
85151	0
7231	0
57008	0
72676	0
80925	0
25225	1
1156	0
22864	0
25118	0
44959	0
65395	0
89484	0
38225	0
59559	0
75051	0
33217	0
35247	0
78111	0
31001	1
4301	0
17961	0
36493	0
88598	0
91949	1
8881	1
56511	0
30160	0
54897	1
66243	0
5323	0
5419	0
32921	0
56430	1
56816	2
57958	0
22341	0
46294	2
57886	0
16850	0
48698	1
62165	1
66595	0
74164	0
115516	1
31912	0
67750	1
45947	1
80501	0
41952	0
60852	1
89797	0
10251	0
72016	1
106699	1
48878	0
53128	1
110919	1
18048	1
22615	0
24313	0
37412	0
42958	0
63935	1
75773	1
76602	0
84018	1
5399	1
60612	0
75143	1
10237	1
51547	1
59428	0
62578	1
101582	1
104173	1
117675	1
10016	0
25589	1
54050	0
57938	0
77186	0
27008	0
42589	1
42670	1
81015	0
57320	0
61702	0
9974	0
111319	1
7572	0
45231	1
64337	0
65971	0
84830	0
3288	0
5242	1
36729	0
41643	0
42285	0
62495	0
86722	1
2216	1
7399	0
83515	1
87667	0
43732	0
64140	0
71434	0
75320	1
37639	0
11391	1
12582	0
13703	1
36234	0
3775	1
18134	0
43464	0
2102	0
36754	0
62885	1
1767	0
9107	1
19752	1
25168	0
72690	0
77453	0
21947	0
22741	1
29190	0
36391	0
39575	0
40979	0
46736	0
70819	0
86254	0
46715	1
86484	0
4973	0
13056	1
59476	0
84774	0
106862	1
8837	0
10269	0
11441	1
18777	0
32607	1
78081	0
90625	1
8915	1
12343	0
30760	0
16606	0
29429	0
58594	0
76372	0
2118	0
16851	0
35127	0
39020	0
67186	1
33691	0
49289	0
53830	0
104021	1
11494	1
25008	0
44219	0
69752	1
71572	0
81906	0
11263	1
15463	0
36293	0
74859	1
83119	0
85125	1
89176	0
22198	1
33126	0
44728	0
7723	0
15634	0
26684	1
26862	1
53363	0
64599	1
64752	0
84236	1
87485	0
104974	1
7780	0
12989	0
38559	2
63617	0
66190	1
13191	1
16161	0
16604	0
39749	0
40925	0
61803	0
90807	0
20670	0
48100	0
82529	0
7917	1
24910	0
44577	1
50692	0
66279	0
73690	0
98800	1
4277	0
15550	1
38114	1
60421	0
7221	0
23311	1
31858	1
37734	1
50569	0
79070	2
111869	1
27894	0
44672	0
46426	1
72384	0
103587	1
11111	0
25450	1
27473	0
58134	1
68909	1
72298	1
5249	0
17890	0
17891	0
25728	1
53337	0
69306	1
70122	1
77404	0
28737	0
56057	0
56309	0
60008	0
77570	0
15502	0
18602	0
63598	0
10607	0
16693	1
16795	0
28081	1
32386	0
35516	0
47165	1
49712	1
52743	0
58800	0
72312	1
87933	0
103559	1
3647	1
4325	1
36389	0
59039	1
59082	0
76851	0
86857	0
96803	1
111445	1
391	1
3112	1
5453	1
22599	0
23506	0
26529	1
55400	2
70402	0
22109	0
23564	0
33245	1
36589	0
40707	0
56206	0
77398	0
80536	1
86359	1
30367	1
33293	0
45393	0
52863	1
53453	0
66171	0
72992	0
76033	0
89788	0
19034	0
20604	0
26027	0
31360	0
41421	0
47320	0
51551	1
52779	0
67295	0
78016	1
30052	1
41249	0
41782	0
42607	0
43698	0
62528	0
84619	1
100144	1
25039	1
35412	0
43964	0
45834	0
47779	0
48995	1
52769	1
55807	0
68364	0
24610	0
27105	1
46402	1
60155	0
88646	1
103804	1
10410	0
42586	0
44550	0
77198	0
95830	1
118284	1
7359	0
17654	1
19019	0
51680	0
53860	1
62023	1
72578	0
92366	1
3615	1
12673	0
18651	0
29368	0
34818	0
39643	0
43483	0
54177	0
89072	1
10672	0
17457	1
58047	0
97976	1
31089	0
33708	0
59751	0
58471	0
67280	0
74966	1
82292	1
83498	0
110520	1
2248	1
8608	0
8738	0
14379	0
20377	0
22074	1
23168	0
25435	1
43294	0
53904	0
55727	1
67859	0
78684	0
83603	0
3535	1
3729	1
14994	0
16644	1
20884	1
31798	0
32974	1
35976	1
74798	1
83379	0
104337	1
7800	0
18399	0
40687	0
62715	0
77937	1
95863	1
5393	0
12934	0
13229	1
36985	0
41297	0
44058	0
56291	1
68811	1
71285	0
73689	1
17956	0
18047	0
19462	0
21450	0
42293	0
56663	0
69295	0
87911	0
104908	1
3445	1
39378	0
48447	0
71027	0
76029	0
3394	1
3435	1
7903	1
8701	0
21595	0
22765	0
24924	0
1594	0
7189	0
11401	1
17297	1
19228	1
31704	1
32794	0
37948	0
51045	1
54512	1
56518	0
63752	0
81907	0
591	0
7204	0
9775	0
13869	0
33780	0
51133	2
83840	1
88981	0
94694	1
3409	1
11278	1
19443	0
20020	1
35823	1
43696	0
46292	0
62873	0
73739	0
85866	0
11013	0
16327	0
30289	1
30602	1
34223	0
53400	0
63002	0
91573	1
4319	0
5370	0
28378	0
32288	0
47761	0
50503	1
56788	0
56980	0
87037	1
87113	0
94645	1
8347	1
28824	1
52929	0
58198	0
67610	1
71120	0
76069	1
7832	0
12332	0
21678	1
43619	0
50275	1
50345	0
50482	0
53289	0
57684	0
70928	1
90624	1
95882	1
13408	0
24712	0
37556	1
43475	0
50426	0
52573	1
58197	0
58771	0
67891	0
71787	1
73659	1
91275	1
118457	0
15530	0
17809	0
19530	0
23241	0
31045	0
35737	1
43830	0
62589	0
86870	0
9836	1
11413	0
24038	0
51758	0
67470	0
68753	0
76740	0
166334	0
4459	0
17857	0
23279	1
33511	0
35729	1
38871	0
44443	2
45569	0
47251	0
48862	0
48975	0
51300	0
66536	0
77637	0
90589	0
14720	1
28945	0
37284	0
38283	0
44845	0
59300	0
66269	0
76627	0
83523	1
8085	0
22878	1
27108	1
33852	0
44011	1
62919	1
65610	0
96924	1
104493	1
2704	1
6287	0
29204	1
39156	1
46575	0
48370	0
57398	1
58166	1
62380	0
68632	1
76782	1
92507	1
103488	1
21260	1
21515	0
26108	0
27242	1
28184	0
32989	1
33933	0
37862	1
46327	1
63904	0
75672	1
78072	0
1968	0
8839	1
18741	0
29159	0
33190	0
36549	0
62856	1
69501	2
87768	0
10231	0
17342	0
25027	1
25250	0
26849	1
28619	0
33906	0
56609	0
62655	0
69861	0
11883	1
14881	0
19072	1
36905	0
44188	0
52965	0
58866	0
70429	1
71606	0
75660	1
83916	1
109675	1
8171	0
13712	2
14463	0
27323	0
27505	0
63978	1
66685	0
78885	1
80312	0
84011	0
96631	1
104362	2
21364	0
22658	1
32670	0
33158	1
70063	1
71000	1
74515	0
84762	0
1062	0
2183	0
9927	1
11109	0
13687	0
15592	0
24860	0
26920	0
32140	0
42193	0
42732	2
43586	0
45092	1
52307	0
53012	0
53380	0
67057	0
86345	1
3783	1
6936	0
11232	1
14946	0
21128	0
26305	0
31437	1
44945	0
57300	0
60545	1
63135	1
80834	1
108018	1
115602	1
16988	0
20395	1
30453	2
37628	0
45261	1
46958	1
47960	0
57861	0
65466	0
75004	0
82021	1
83596	0
85828	2
87617	1
14152	1
19786	0
23299	1
35901	0
38196	0
40813	0
41170	1
45120	1
49802	0
53064	1
53718	0
57322	0
61678	0
62952	1
71825	0
76050	1
80431	0
90850	1
92820	0
1780	0
7505	0
10814	1
16036	1
17792	1
23696	0
29150	0
32487	0
35981	0
43395	0
43900	0
55399	0
73785	1
83231	1
89428	0
8973	0
9972	0
30804	0
36610	0
39794	1
40185	0
43880	1
52373	1
57997	0
62979	1
75106	0
77729	1
80300	1
1622	1
5279	0
6043	1
7947	0
8772	0
16208	1
33812	0
40035	1
41049	0
57058	1
60833	0
63922	0
69639	0
75046	0
76108	1
88318	0
88381	0
1565	1
6821	0
11456	0
11842	1
25705	0
26755	0
27736	1
32188	1
33734	0
45896	0
62989	1
73501	1
76494	0
91760	1
315	1
8263	1
9275	0
10871	0
17845	0
32242	2
34173	1
38030	1
49084	0
56839	0
58251	2
63845	1
71914	0
17437	1
18138	0
18247	1
20245	0
22528	0
24409	1
