contig	pos	locus_ID	depth_a	depth_b	ratio	num_hets	total_depth	depth_per_het	Duplicate	std	z	abs_z
un	207	14	91	81	0.529069767442	6	172	28.6666666667	1	6.5574385243	0.762492851663	0.762492851663
un	353	15	5138	7968	0.392034182817	198	13106	66.1919191919	2	57.2407197719	-24.7201643452	24.7201643452
un	565	20	930	943	0.496529631607	43	1873	43.5581395349	1	21.6390850084	-0.300382386662	0.300382386662
un	707	28	1347	1422	0.486457204767	85	2769	32.5764705882	1	26.3106442338	-1.42527866922	1.42527866922
un	834	34	894	882	0.503378378378	56	1776	31.7142857143	1	21.0713075057	0.284747398726	0.284747398726
un	1025	43	4634	5148	0.47372725414	188	9782	52.0319148936	2	49.4519969263	-5.19695899001	5.19695899001
un	1099	45	1923	1951	0.496386164171	103	3874	37.6116504854	1	31.1207326392	-0.449860874495	0.449860874495
un	1143	46	714	594	0.545871559633	57	1308	22.9473684211	1	18.08314132	3.31800758166	3.31800758166
un	1247	51	621	279	0.69	22	900	40.9090909091	2	15.0	11.4	11.4
un	1354	54	1357	1328	0.505400372439	68	2685	39.4852941176	1	25.9084928161	0.559662042209	0.559662042209
un	1867	66	818	734	0.52706185567	41	1552	37.8536585366	1	19.6977156036	2.13222694678	2.13222694678
un	1948	74	1410	1481	0.487720511934	89	2891	32.4831460674	1	26.8840101175	-1.32048752566	1.32048752566
un	2115	77	4440	3367	0.568720379147	125	7807	62.456	2	44.1786147361	12.1438846194	12.1438846194
un	2214	82	690	698	0.49711815562	44	1388	31.5454545455	1	18.6279360102	-0.214731250838	0.214731250838
un	2309	84	1517	1609	0.485284708893	98	3126	31.8979591837	2	27.955321497	-1.64548277525	1.64548277525
un	2721	108	733	716	0.505866114562	37	1449	39.1621621622	1	19.0328663107	0.446595896869	0.446595896869
un	3005	122	2535	1281	0.664308176101	108	3816	35.3333333333	2	30.886890423	20.2998745233	20.2998745233
un	3422	157	1022	488	0.676821192053	47	1510	32.1276595745	2	19.4293592277	13.7420898379	13.7420898379
un	3508	160	2119	2221	0.488248847926	94	4340	46.170212766	1	32.939338184	-1.54830068883	1.54830068883
un	3741	172	1811	1789	0.503055555556	102	3600	35.2941176471	1	30.0	0.366666666667	0.366666666667
un	4400	205	973	1104	0.468464130958	58	2077	35.8103448276	1	22.7870577302	-2.87443867372	2.87443867372
un	4431	208	1597	1605	0.498750780762	96	3202	33.3541666667	1	28.2931087016	-0.141377182769	0.141377182769
un	4652	216	2588	1036	0.71412803532	40	3624	90.6	2	30.0998338866	25.7808731744	25.7808731744
un	4795	217	1125	1049	0.517479300828	52	2174	41.8076923077	1	23.3130864537	1.62998580541	1.62998580541
un	4864	220	1508	1474	0.505700871898	75	2982	39.76	1	27.303845883	0.622622910812	0.622622910812
un	4918	221	2201	1170	0.652921981608	77	3371	43.7792207792	1	29.030156734	17.7573963766	17.7573963766
un	5136	229	2074	1969	0.512985406876	109	4043	37.0917431193	1	31.792294664	1.65134352694	1.65134352694
un	5255	232	158	57	0.73488372093	4	215	53.75	2	7.33143914931	6.88814282865	6.88814282865
un	5358	238	799	719	0.526350461133	66	1518	23.0	1	19.4807597388	2.05330800936	2.05330800936
un	5510	244	939	903	0.509771986971	73	1842	25.2328767123	1	21.4592637339	0.838798582432	0.838798582432
un	5617	248	1331	1449	0.478776978417	95	2780	29.2631578947	1	26.3628526529	-2.23799756334	2.23799756334
un	5995	260	3034	1532	0.664476565922	78	4566	58.5384615385	2	33.7860918131	22.2280814293	22.2280814293
un	6130	274	1572	587	0.728114867994	25	2159	86.36	2	23.232520311	21.1987332157	21.1987332157
un	6367	280	874	921	0.486908077994	50	1795	35.9	1	21.1837201643	-1.10934244872	1.10934244872
un	6424	282	399	407	0.495037220844	20	806	40.3	1	14.1950695666	-0.281787981471	0.281787981471
un	6560	287	70	90	0.4375	6	160	26.6666666667	1	6.32455532034	-1.58113883008	1.58113883008
un	6725	294	7570	5269	0.589609782693	163	12839	78.7668711656	2	56.6546555898	20.3072455039	20.3072455039
un	6892	315	329	310	0.514866979656	16	639	39.9375	1	12.6392246598	0.751628383523	0.751628383523
un	7286	332	2291	2145	0.516456266907	104	4436	42.6538461538	1	33.3016516107	2.19208346941	2.19208346941
un	7767	350	787	745	0.513707571802	42	1532	36.4761904762	1	19.5703857908	1.07304987365	1.07304987365
un	7870	351	351	324	0.52	19	675	35.5263157895	1	12.9903810568	1.03923048454	1.03923048454
un	8083	358	366	356	0.506925207756	22	722	32.8181818182	1	13.4350288425	0.372161463782	0.372161463782
un	8250	367	3446	2823	0.549688945605	131	6269	47.8549618321	2	39.5885084336	7.86844496862	7.86844496862
un	8340	370	1651	1823	0.475244674727	98	3474	35.4489795918	1	29.4703240566	-2.91818983174	2.91818983174
un	8480	382	5712	4240	0.573954983923	151	9952	65.9072847682	2	49.8798556534	14.7554556917	14.7554556917
un	8659	391	603	601	0.500830564784	39	1204	30.8717948718	1	17.3493515729	0.0576390417704	0.0576390417704
un	8806	392	607	623	0.493495934959	36	1230	34.1666666667	1	17.5356779168	-0.45621275881	0.45621275881
un	8844	393	5869	4769	0.551701447641	154	10638	69.0779220779	2	51.570340313	10.665044998	10.665044998
un	9133	399	1193	1143	0.510702054795	76	2336	30.7368421053	1	24.1660919472	1.03450736075	1.03450736075
un	9583	417	617	640	0.490851233095	46	1257	27.3260869565	1	17.7270979012	-0.648724346425	0.648724346425
un	9903	442	844	881	0.489275362319	53	1725	32.5471698113	1	20.7665596573	-0.890855312835	0.890855312835
un	10027	446	751	718	0.511232130701	52	1469	28.25	1	19.1637678967	0.860999782971	0.860999782971
un	10137	447	137	133	0.507407407407	8	270	33.75	1	8.21583836258	0.24343224778	0.24343224778
un	10542	458	1805	1987	0.476002109705	102	3792	37.1764705882	1	30.7896086367	-2.9555426012	2.9555426012
un	10756	470	1777	1874	0.486715968228	80	3651	45.6375	1	30.21175268	-1.60533552997	1.60533552997
un	10853	472	908	1085	0.455594581034	50	1993	39.86	1	22.3215142855	-3.96478477526	3.96478477526
un	10923	476	637	633	0.50157480315	44	1270	28.8636363636	1	17.8185296812	0.112242706653	0.112242706653
un	11114	478	3348	2450	0.577440496723	128	5798	45.296875	2	38.0722996416	11.7933511825	11.7933511825
un	11363	489	760	661	0.534834623505	34	1421	41.7941176471	1	18.848076825	2.62626263993	2.62626263993
un	11548	516	1352	1272	0.515243902439	71	2624	36.9577464789	1	25.6124969497	1.56173761889	1.56173761889
un	11840	521	1000	1062	0.484966052376	58	2062	35.5517241379	1	22.7046250795	-1.36536057704	1.36536057704
un	11995	525	735	725	0.503424657534	53	1460	27.5471698113	1	19.1049731745	0.261711961295	0.261711961295
un	12216	532	1651	1498	0.524293426485	93	3149	33.8602150538	1	28.0579756932	2.72649747924	2.72649747924
un	12679	567	1530	1566	0.494186046512	92	3096	33.652173913	1	27.8208554865	-0.646996639221	0.646996639221
un	12698	568	2185	2319	0.485124333925	105	4504	42.8952380952	1	33.5559234711	-1.99666684953	1.99666684953
un	12971	584	1339	1398	0.489221775667	79	2737	34.6455696203	1	26.1581727191	-1.12775461485	1.12775461485
un	13127	611	1673	1649	0.503612281758	82	3322	40.512195122	1	28.818396902	0.416400677693	0.416400677693
un	13426	627	808	792	0.505	45	1600	35.5555555556	1	20.0	0.4	0.4
un	13475	632	1176	1204	0.494117647059	59	2380	40.3389830508	1	24.3926218353	-0.573944043184	0.573944043184
un	13557	634	1886	1655	0.532617904547	89	3541	39.7865168539	1	29.7531510936	3.88194176935	3.88194176935
un	13749	640	1787	1726	0.508682038144	104	3513	33.7788461538	1	29.6352830255	1.02917863055	1.02917863055
un	13896	647	603	600	0.501246882793	37	1203	32.5135135135	1	17.342145196	0.0864944897557	0.0864944897557
un	13999	650	2041	1842	0.525624517126	107	3883	36.2897196262	1	31.1568612026	3.19351809391	3.19351809391
un	14024	652	1874	1810	0.508686210641	87	3684	42.3448275862	1	30.347981811	1.05443585011	1.05443585011
un	14225	656	288	243	0.542372881356	16	531	33.1875	1	11.5217186218	1.95283366471	1.95283366471
un	14528	665	6823	3974	0.631934796703	199	10797	54.256281407	2	51.9543068475	27.418323647	27.418323647
un	14636	669	2130	2141	0.498712245376	101	4271	42.2871287129	1	32.676444115	-0.168316968047	0.168316968047
un	14767	675	2507	2696	0.481837401499	116	5203	44.8534482759	2	36.0659118837	-2.62020270844	2.62020270844
un	15021	681	6514	6598	0.496796827334	179	13112	73.251396648	2	57.2538208332	-0.733575495727	0.733575495727
un	15164	688	4273	2322	0.647915087187	111	6595	59.4144144144	2	40.6048026716	24.0242517096	24.0242517096
un	15261	691	385	415	0.48125	21	800	38.0952380952	1	14.1421356237	-1.06066017178	1.06066017178
un	15406	693	1490	1397	0.51610668514	104	2887	27.7596153846	1	26.865405264	1.73085049501	1.73085049501
un	15443	695	415	491	0.458057395143	21	906	43.1428571429	1	15.0499169433	-2.5249308779	2.5249308779
un	15551	696	2045	2030	0.501840490798	96	4075	42.4479166667	1	31.917863337	0.234978134996	0.234978134996
un	15856	706	1344	1271	0.51395793499	74	2615	35.3378378378	1	25.5685353511	1.42753581693	1.42753581693
un	16159	710	1620	687	0.702210663199	29	2307	79.5517241379	2	24.015619917	19.4248577222	19.4248577222
un	16576	746	521	455	0.53381147541	29	976	33.6551724138	1	15.6204993518	2.11260851889	2.11260851889
un	17143	771	444	458	0.492239467849	26	902	34.6923076923	1	15.0166574177	-0.466149010748	0.466149010748
un	17220	772	2866	2371	0.547259881612	113	5237	46.3451327434	1	36.1835598028	6.84012301026	6.84012301026
un	17346	773	1625	1662	0.494371767569	87	3287	37.7816091954	1	28.6661821664	-0.645359744544	0.645359744544
un	17553	778	6057	6552	0.480371163455	202	12609	62.4207920792	2	56.1449018166	-4.40823640245	4.40823640245
un	18004	800	4470	1733	0.720619055296	140	6203	44.3071428571	2	39.3795632276	34.751528149	34.751528149
un	18142	806	453	444	0.505016722408	20	897	44.85	1	14.9749791319	0.300501253482	0.300501253482
un	18328	814	344	398	0.463611859838	31	742	23.935483871	1	13.6198384719	-1.98240236518	1.98240236518
un	18496	831	560	494	0.531309297913	28	1054	37.6428571429	1	16.2326830807	2.03293564199	2.03293564199
un	18602	832	797	732	0.521255722695	91	1529	16.8021978022	1	19.551214796	1.66230080018	1.66230080018
un	18745	839	498	479	0.509723643808	28	977	34.8928571429	1	15.6284996081	0.607863853743	0.607863853743
un	18903	847	825	783	0.513059701493	40	1608	40.2	1	20.0499376558	1.04738480291	1.04738480291
un	19056	852	5859	4855	0.546854582789	159	10714	67.3836477987	2	51.7542268805	9.69969083219	9.69969083219
un	19171	859	1705	1739	0.49506387921	78	3444	44.1538461538	1	29.3428015022	-0.579358450102	0.579358450102
un	19518	899	712	688	0.508571428571	37	1400	37.8378378378	1	18.7082869339	0.64142698059	0.64142698059
un	19693	904	1274	1358	0.484042553191	76	2632	34.6315789474	1	25.6515106768	-1.63733046873	1.63733046873
un	19777	907	1398	1389	0.501614639397	73	2787	38.1780821918	1	26.3960224276	0.170480230964	0.170480230964
un	19912	909	5830	4722	0.552501895375	183	10552	57.6612021858	2	51.3614641536	10.7862968693	10.7862968693
un	19976	913	6504	4777	0.576544632568	159	11281	70.9496855346	2	53.1060260234	16.2599249964	16.2599249964
un	20346	940	1243	1262	0.49620758483	69	2505	36.3043478261	1	25.0249875125	-0.379620569052	0.379620569052
un	20485	943	68	80	0.459459459459	8	148	18.5	1	6.0827625303	-0.986393923832	0.986393923832
un	20626	947	1211	607	0.666116611661	48	1818	37.875	2	21.3190056053	14.1657639006	14.1657639006
un	20714	948	7769	6378	0.549162366579	214	14147	66.1074766355	2	59.4705809624	11.6948580079	11.6948580079
un	20850	950	6542	5874	0.526900773196	175	12416	70.9485714286	2	55.7135531087	5.99495062446	5.99495062446
un	20907	952	690	467	0.596369922213	22	1157	52.5909090909	1	17.0073513517	6.55598850722	6.55598850722
un	21046	959	5772	3960	0.593094944513	140	9732	69.5142857143	2	49.3254498206	18.3678000565	18.3678000565
un	21078	964	790	757	0.510665804783	43	1547	35.976744186	1	19.6659604393	0.839013179699	0.839013179699
un	21456	998	7294	5460	0.571899012075	213	12754	59.8779342723	2	56.4668044075	16.2396298077	16.2396298077
un	21804	1014	1043	1043	0.5	61	2086	34.1967213115	1	22.8363744933	-0.0	0.0
un	21850	1015	2998	1346	0.69014732965	75	4344	57.92	2	32.9545141066	25.0648514291	25.0648514291
un	22017	1023	1804	1837	0.495468277946	108	3641	33.712962963	1	30.1703496831	-0.546894556189	0.546894556189
un	22102	1024	1435	1396	0.506888025433	80	2831	35.3875	1	26.6035711888	0.732984299799	0.732984299799
un	22430	1042	439	431	0.504597701149	28	870	31.0714285714	1	14.7478812038	0.271225401448	0.271225401448
un	22609	1047	824	756	0.521518987342	48	1580	32.9166666667	1	19.8746069144	1.71072565845	1.71072565845
un	22716	1053	208	176	0.541666666667	29	384	13.2413793103	1	9.79795897113	1.63299316186	1.63299316186
un	22984	1064	1154	1254	0.479235880399	71	2408	33.9154929577	1	24.5356882928	-2.03784786485	2.03784786485
un	23212	1073	1784	1716	0.509714285714	88	3500	39.7727272727	1	29.5803989155	1.14940978643	1.14940978643
un	23467	1108	359	276	0.565354330709	19	635	33.4210526316	1	12.5996031684	3.29375452905	3.29375452905
un	23579	1110	1612	1646	0.494782074893	96	3258	33.9375	1	28.5394463857	-0.595666775391	0.595666775391
un	23830	1132	1116	1110	0.501347708895	53	2226	42.0	1	23.5902522242	0.12717117102	0.12717117102
un	24017	1136	1210	1230	0.495901639344	96	2440	25.4166666667	1	24.6981780705	-0.404888165089	0.404888165089
un	24098	1139	470	454	0.508658008658	23	924	40.1739130435	1	15.1986841536	0.526361355968	0.526361355968
un	24339	1143	1160	1293	0.472890338361	110	2453	22.3	1	24.7638849941	-2.68536217221	2.68536217221
un	24495	1150	1798	1830	0.49558985667	91	3628	39.8681318681	1	30.1164406928	-0.531271280137	0.531271280137
un	24664	1157	1206	1225	0.496092143151	97	2431	25.0618556701	1	24.6525860712	-0.3853551093	0.3853551093
un	25190	1177	4088	4099	0.499328203249	154	8187	53.1623376623	2	45.2410212086	-0.12157108423	0.12157108423
un	25301	1189	1494	1464	0.505070993915	73	2958	40.5205479452	1	27.1937492818	0.551597348515	0.551597348515
un	25484	1193	125	86	0.592417061611	5	211	42.2	1	7.26291952317	2.6848707242	2.6848707242
un	25648	1194	804	834	0.490842490842	68	1638	24.0882352941	1	20.2361063448	-0.741249316661	0.741249316661
un	26073	1223	1683	836	0.668122270742	38	2519	66.2894736842	2	25.0948201827	16.8759926119	16.8759926119
un	26182	1224	5828	3096	0.65307037203	136	8924	65.6176470588	2	47.2334627145	28.92017484	28.92017484
un	26266	1238	1245	1574	0.44164597375	107	2819	26.3457943925	1	26.5471279049	-6.19652719455	6.19652719455
un	26757	1265	5227	5632	0.481351874022	209	10859	51.956937799	2	52.1032628537	-3.88651283834	3.88651283834
un	27006	1281	1453	1363	0.515980113636	94	2816	29.9574468085	1	26.5329983228	1.69600131325	1.69600131325
un	27162	1283	924	801	0.535652173913	50	1725	34.5	1	20.7665596573	2.96149198591	2.96149198591
un	27217	1284	5994	2830	0.679283771532	115	8824	76.7304347826	2	46.9680742633	33.6824539821	33.6824539821
un	27269	1285	721	732	0.496214728149	49	1453	29.6530612245	1	19.0591185525	-0.288575779873	0.288575779873
un	27425	1287	378	419	0.474278544542	26	797	30.6538461538	1	14.1155942135	-1.4522945113	1.4522945113
un	27591	1293	6198	6308	0.495602110987	212	12506	58.9905660377	2	55.9151142358	-0.983633866294	0.983633866294
un	27711	1303	436	443	0.496018202503	19	879	46.2631578947	1	14.8239670804	-0.236104140074	0.236104140074
un	28238	1347	952	926	0.506922257721	55	1878	34.1454545455	1	21.66794868	0.599964500192	0.599964500192
un	28731	1378	2467	1367	0.643453312467	81	3834	47.3333333333	1	30.9596511608	17.7650580474	17.7650580474
un	28934	1384	5274	2843	0.649747443637	126	8117	64.4206349206	2	45.0471974711	26.9828106572	26.9828106572
un	29159	1407	1134	1087	0.510580819451	59	2221	37.6440677966	1	23.5637433359	0.997294855279	0.997294855279
un	29320	1408	786	649	0.547735191638	59	1435	24.3220338983	1	18.9406969249	3.61655118984	3.61655118984
un	29337	1413	550	524	0.512104283054	30	1074	35.8	1	16.3859696082	0.793361657007	0.793361657007
un	29460	1417	1291	1253	0.507468553459	51	2544	49.8823529412	1	25.2190404258	0.753399006432	0.753399006432
un	30125	1450	1210	1185	0.505219206681	60	2395	39.9166666667	1	24.4693686065	0.510842768403	0.510842768403
un	30253	1453	1489	1502	0.497826813775	90	2991	33.2333333333	1	27.3450178278	-0.2377032643	0.2377032643
un	30304	1456	1749	1735	0.502009184845	101	3484	34.495049505	1	29.5127091267	0.23718595165	0.23718595165
un	30537	1464	1756	1699	0.508248914616	95	3455	36.3684210526	1	29.3896240194	0.969729996587	0.969729996587
un	30749	1473	1188	882	0.573913043478	86	2070	24.0697674419	1	22.7486263322	6.72568082864	6.72568082864
un	31178	1497	3140	1770	0.639511201629	88	4910	55.7954545455	1	35.0356960827	19.5514882417	19.5514882417
un	31241	1507	1876	1153	0.619346318917	97	3029	31.2268041237	2	27.5181758116	13.1367719457	13.1367719457
un	31565	1512	1405	1395	0.501785714286	70	2800	40.0	1	26.4575131106	0.188982236505	0.188982236505
un	31606	1517	5995	3111	0.658357127169	111	9106	82.036036036	2	47.7126817523	30.2225728473	30.2225728473
un	31755	1520	1985	1755	0.530748663102	80	3740	46.75	1	30.5777697028	3.76090215596	3.76090215596
un	31935	1534	1136	995	0.533083059596	58	2131	36.7413793103	1	23.0813777752	3.05441038601	3.05441038601
un	32010	1536	1733	1652	0.511964549483	89	3385	38.0337078652	1	29.0903764156	1.39221299241	1.39221299241
un	32205	1552	2153	2067	0.51018957346	108	4220	39.0740740741	1	32.4807635378	1.32386050439	1.32386050439
un	32606	1565	816	853	0.488915518274	62	1669	26.9193548387	1	20.4266982158	-0.905677452349	0.905677452349
un	32684	1566	324	273	0.542713567839	17	597	35.1176470588	1	12.2167917229	2.08729104813	2.08729104813
un	32788	1567	1072	1339	0.444628784737	88	2411	27.3977272727	1	24.5509673944	-5.43766760207	5.43766760207
un	32975	1572	1655	1603	0.507980356047	76	3258	42.8684210526	1	28.5394463857	0.911019774128	0.911019774128
un	33142	1577	4309	1782	0.70743720243	90	6091	67.6777777778	2	39.0224294477	32.3788143866	32.3788143866
un	33308	1579	352	322	0.522255192878	15	674	44.9333333333	1	12.9807549857	1.15555682366	1.15555682366
un	33495	1584	552	548	0.501818181818	31	1100	35.4838709677	1	16.5831239518	0.120604537831	0.120604537831
un	33834	1596	1567	1699	0.479791794244	83	3266	39.3493975904	1	28.5744641245	-2.30975460161	2.30975460161
un	33920	1600	378	393	0.490272373541	22	771	35.0454545455	1	13.8834433769	-0.540211804549	0.540211804549
un	34041	1605	2525	1261	0.666930797676	71	3786	53.323943662	2	30.7652401258	20.5426642996	20.5426642996
un	34191	1610	1039	1043	0.499039385207	72	2082	28.9166666667	1	22.8144690931	-0.0876636660638	0.0876636660638
un	34333	1613	1677	1698	0.496888888889	92	3375	36.6847826087	1	29.0473750966	-0.361478445646	0.361478445646
un	34561	1616	282	244	0.536121673004	21	526	25.0476190476	1	11.4673449412	1.65687873675	1.65687873675
un	34775	1618	1859	1802	0.507784758263	107	3661	34.214953271	1	30.2530990148	0.94205225012	0.94205225012
un	34832	1622	222	219	0.503401360544	26	441	16.9615384615	1	10.5	0.142857142857	0.142857142857
un	35327	1643	1211	1071	0.530674846626	52	2282	43.8846153846	1	23.885141825	2.93069224847	2.93069224847
un	35417	1650	262	237	0.5250501002	14	499	35.6428571429	1	11.1691539518	1.11915370259	1.11915370259
un	35489	1654	1402	1437	0.493835857696	70	2839	40.5571428571	1	26.6411336095	-0.656878954796	0.656878954796
un	35619	1655	176	141	0.555205047319	12	317	26.4166666667	1	8.90224690738	1.96579584706	1.96579584706
un	35716	1657	1007	1065	0.486003861004	60	2072	34.5333333333	1	22.7596133535	-1.27418684797	1.27418684797
un	36088	1680	1346	1363	0.496862310816	73	2709	37.1095890411	1	26.0240273593	-0.326621236699	0.326621236699
un	36338	1703	336	282	0.543689320388	15	618	41.2	1	12.4298028947	2.17219856411	2.17219856411
un	36483	1712	2888	1873	0.606595253098	85	4761	56.0117647059	2	34.5	14.7101449275	14.7101449275
un	36724	1729	1949	1970	0.497320745088	100	3919	39.19	1	31.3009584518	-0.335452986725	0.335452986725
un	36817	1732	1184	1156	0.505982905983	53	2340	44.1509433962	1	24.1867732449	0.578828761416	0.578828761416
un	36867	1733	413	416	0.498190591074	17	829	48.7647058824	1	14.3961800489	-0.104194306747	0.104194306747
un	36994	1735	1782	573	0.756687898089	36	2355	65.4166666667	2	24.2641711171	24.9132763317	24.9132763317
un	37143	1750	147	158	0.481967213115	7	305	43.5714285714	1	8.73212459829	-0.629858167745	0.629858167745
un	37492	1759	967	860	0.529282977559	54	1827	33.8333333333	1	21.3717102732	2.50330924929	2.50330924929
un	37596	1760	94	93	0.502673796791	5	187	37.4	1	6.83739716559	0.0731272424127	0.0731272424127
un	37684	1762	1755	1921	0.477421109902	107	3676	34.3551401869	1	30.3150127824	-2.73791736773	2.73791736773
un	38187	1791	8349	7754	0.518474818357	212	16103	75.9575471698	2	63.448798255	4.68882009088	4.68882009088
un	38320	1796	3995	2097	0.655778069599	85	6092	71.6705882353	2	39.0256326022	24.3173508467	24.3173508467
un	38362	1799	4261	1847	0.697609692207	68	6108	89.8235294118	2	39.0768473652	30.887855121	30.887855121
un	38582	1817	580	644	0.47385620915	31	1224	39.4838709677	1	17.4928556845	-1.82931824152	1.82931824152
un	38696	1826	1618	1589	0.504521359526	87	3207	36.8620689655	1	28.3151902695	0.512092621027	0.512092621027
un	38817	1843	1068	1057	0.502588235294	61	2125	34.8360655738	1	23.0488611432	0.238623503601	0.238623503601
un	38840	1847	382	342	0.527624309392	22	724	32.9090909091	1	13.4536240471	1.48658829249	1.48658829249
un	39257	1865	5247	3710	0.585798816568	154	8957	58.1623376623	2	47.3207142803	16.2402451376	16.2402451376
un	40909	1951	1231	1215	0.503270645953	73	2446	33.5068493151	1	24.7285260378	0.323513014394	0.323513014394
un	41059	1958	402	419	0.489646772229	32	821	25.65625	1	14.3265487819	-0.593304090846	0.593304090846
un	41693	1997	783	697	0.529054054054	41	1480	36.0975609756	1	19.2353840617	2.23546355311	2.23546355311
un	42038	2026	1524	1407	0.519959058342	90	2931	32.5666666667	1	27.0693553673	2.16111537221	2.16111537221
un	42146	2028	957	918	0.5104	43	1875	43.6046511628	1	21.6506350946	0.900666419936	0.900666419936
un	42285	2035	209	219	0.488317757009	11	428	38.9090909091	1	10.3440804328	-0.483368244523	0.483368244523
un	42322	2044	153	153	0.5	17	306	18.0	1	8.74642784227	-0.0	0.0
un	42786	2072	4400	2709	0.618933745956	106	7109	67.0660377358	1	42.1574429965	20.055770462	20.055770462
un	42993	2075	193	232	0.454117647059	12	425	35.4166666667	1	10.307764064	-1.89177787528	1.89177787528
un	43081	2086	4569	2531	0.643521126761	100	7100	71.0	2	42.1307488659	24.186610194	24.186610194
un	44230	2132	1770	1610	0.523668639053	93	3380	36.3440860215	1	29.0688837075	2.75208366462	2.75208366462
un	44282	2140	716	649	0.524542124542	33	1365	41.3636363636	1	18.4729532019	1.81346207257	1.81346207257
un	44732	2150	1181	1254	0.48501026694	46	2435	52.9347826087	1	24.672859583	-1.47935831586	1.47935831586
un	44943	2159	336	375	0.472573839662	44	711	16.1590909091	2	13.332291626	-1.4626142712	1.4626142712
un	45253	2177	116	153	0.431226765799	10	269	26.9	1	8.20060973343	-2.25592981514	2.25592981514
un	45337	2178	862	414	0.675548589342	54	1276	23.6296296296	1	17.8605710995	12.5415922454	12.5415922454
un	45621	2186	1167	1151	0.503451251079	78	2318	29.7179487179	1	24.0728062344	0.332325193918	0.332325193918
un	45759	2187	4980	5347	0.482231044834	204	10327	50.6225490196	2	50.8109240223	-3.6114281236	3.6114281236
un	46548	2216	775	762	0.504229017567	43	1537	35.7441860465	1	19.6022957839	0.33159381287	0.33159381287
un	46736	2226	1579	742	0.680310211116	58	2321	40.0172413793	2	24.0883789409	17.3735227691	17.3735227691
un	46899	2228	1607	1668	0.490687022901	83	3275	39.4578313253	1	28.6138078556	-1.06591894913	1.06591894913
un	47387	2248	935	988	0.486219448778	57	1923	33.7368421053	1	21.9260119493	-1.20861012305	1.20861012305
un	47537	2252	3999	3768	0.514870606412	148	7767	52.4797297297	1	44.0652924647	2.62111048264	2.62111048264
un	47678	2259	1459	1409	0.508716875872	77	2868	37.2467532468	1	26.776855678	0.933642108717	0.933642108717
un	48103	2273	2855	3273	0.465894255875	144	6128	42.5555555556	2	39.1407715816	-5.33970056171	5.33970056171
un	48540	2304	1137	1189	0.488822012038	73	2326	31.8630136986	1	24.1143111036	-1.07819791693	1.07819791693
